,index,Movie_Link,TrailerPublishYear,TrailerPublishDays,ProductionBudget,HasBudget,Horror,Thriller,Documentary,Comedy,Drama,Adventure,Crime,Biography,Action,NC-17,Not Rated,PG-13,R,PG,G,ProductionCountry,Follows,TopStudios,Language,AwardStars,TopMeters,TopStars,StarsScore,TrailerDuration,FaceNo,RatioFaceNo,Female,RatioFemale,Male,RatioMale,RatioSad,RatioHappy,RatioFear,RatioAngry,RatioSurprise,RatioDisgust,RatioNeutral,RatioAsian,RatioIndian,RatioBlack,RatioWhite,RatioMiddle,RatioHispanic,AverageAge,AvgFaceSize,RatioFaceCoverage,TotalComments,ReviewMag,Sentiment_mean,PN_ratio
0,0,https://www.imdb.com/title/tt4482952/?ref_=adv_li_tt,2015,109,2000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,105,6,0.13,1,0.17,5,0.83,0.17,0.0,0.0,0.33,0.0,0.0,0.5,0.17,0.0,0.17,0.67,0.0,0.0,35.5,277853.17,0.3,2,1.0,0.0,0.0
1,1,https://www.imdb.com/title/tt2989580/?ref_=adv_li_tt,2014,46,5000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,60,17,0.2,4,0.24,13,0.76,0.12,0.06,0.12,0.35,0.0,0.0,0.35,0.24,0.0,0.0,0.65,0.06,0.06,35.12,118152.82,0.13,1,0.3,0.0,0.0
2,2,https://www.imdb.com/title/tt2691554/?ref_=adv_li_tt,2012,85,5000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,65,37,0.69,11,0.3,26,0.7,0.38,0.19,0.16,0.08,0.0,0.0,0.19,0.08,0.0,0.03,0.81,0.03,0.05,33.41,77476.86,0.08,15,11.1,0.26666666666666666,0.36363636363636365
3,3,https://www.imdb.com/title/tt2526846/?ref_=adv_li_tt,2014,28,5000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,131,61,0.85,5,0.08,56,0.92,0.34,0.18,0.05,0.2,0.07,0.0,0.16,0.16,0.0,0.03,0.75,0.02,0.03,38.03,76691.07,0.08,5,4.4,0.8,4.0
4,4,https://www.imdb.com/title/tt2272350/?ref_=adv_li_tt,2013,76,6000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,140,51,0.86,0,0.0,51,1.0,0.33,0.18,0.18,0.1,0.0,0.0,0.22,0.08,0.0,0.04,0.78,0.04,0.06,32.31,17387.33,0.02,12,9.8,0.5,1.0
5,5,https://www.imdb.com/title/tt2516500/?ref_=adv_li_tt,2017,62,7000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,99,63,0.73,6,0.1,57,0.9,0.19,0.13,0.06,0.32,0.03,0.0,0.27,0.1,0.02,0.02,0.75,0.03,0.1,36.35,117632.46,0.13,9,2.7,0.3333333333333333,0.5
6,6,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014,321,10000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,120,73,0.72,28,0.38,45,0.62,0.25,0.15,0.11,0.16,0.0,0.0,0.33,0.26,0.0,0.05,0.6,0.04,0.04,33.0,42279.42,0.05,112,67.3,0.4732142857142857,0.8983050847457628
7,7,https://www.imdb.com/title/tt3655682/?ref_=adv_li_tt,2016,107,10000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,95,49,0.74,6,0.12,43,0.88,0.31,0.1,0.14,0.27,0.0,0.0,0.18,0.18,0.0,0.0,0.78,0.0,0.04,34.24,15516.04,0.02,4,2.0,0.0,0.0
8,8,https://www.imdb.com/title/tt2435514/?ref_=adv_li_tt,2013,352,11000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,72,36,0.53,12,0.33,24,0.67,0.36,0.08,0.17,0.19,0.0,0.0,0.19,0.31,0.0,0.03,0.61,0.06,0.0,32.78,53836.28,0.06,21,17.8,0.5238095238095238,1.1
9,10,https://www.imdb.com/title/tt2308822/?ref_=adv_li_tt,2014,73,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,87,23,0.58,6,0.26,17,0.74,0.43,0.17,0.13,0.04,0.0,0.0,0.22,0.04,0.0,0.04,0.83,0.04,0.04,31.91,38595.74,0.04,1,0.0,0.0,0.0
10,11,https://www.imdb.com/title/tt2070883/?ref_=adv_li_tt,2012,50,22000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,100,29,0.64,5,0.17,24,0.83,0.34,0.07,0.1,0.03,0.0,0.0,0.45,0.03,0.0,0.0,0.79,0.17,0.0,31.86,64368.28,0.07,22,17.7,0.7272727272727273,2.6666666666666665
