,Comments,Blob_sentiment
0,I don't mind giving low rated movies a shot you never know! :),0.25
1,O.o WTF did i just watch?,-0.225
2,"Horrible just horrible. 
",-1
3,This looks so terrible,-1
4,wtf really? -_- smh this looks so stupid ,-0.366666667
5,wft is this shit ,-0.2
6,Not worth it,-0.15
7,WTF did I just saw.,-0.5
8,"Remember when shlock was shlock because people had no money and couldn't direct? There is no excuse for it now, and trying to make out like your'e making a ""homage"" doesn't work either. Rubbish",0.0625
9,wtf is this shit,-0.35
10,WTF?  That looks stupid as f@#k.,-0.65
11,"In hindsight, we all probably should've seen this one coming......",0
12,this is probably too soon. ,0
13,"I liked the theme music, movie sucks",0.6
14,"wut? ...
",0
